City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
East London,-33.02,27.91,71.78,27,0,7.85,ZA,1596389458
Kahului,20.89,-156.47,77.0,69,40,16.11,US,1596389430
Hobart,-42.88,147.33,48.0,75,40,9.17,AU,1596389435
Kulhudhuffushi,6.62,73.07,82.76,81,100,19.22,MV,1596389444
Thompson,55.74,-97.86,73.4,38,20,3.36,CA,1596389278
Sinnamary,5.38,-52.95,82.8,76,36,10.96,GF,1596389460
Barrow,71.29,-156.79,37.4,86,90,9.17,US,1596389460
Severo-Yeniseyskiy,60.37,93.04,53.01,75,1,1.12,RU,1596389460
Tasiilaq,65.61,-37.64,53.6,37,18,21.92,GL,1596389460
Khatanga,71.97,102.5,59.47,79,2,6.13,RU,1596389461
Chui,-33.7,-53.46,65.97,80,100,1.79,UY,1596389461
Mataura,-46.19,168.86,47.17,95,72,2.1,NZ,1596389461
Saint Paul Harbor,57.79,-152.41,55.4,82,20,5.82,US,1596389174
Arraial do Cabo,-22.97,-42.03,75.2,53,40,10.29,BR,1596389284
Albany,42.6,-73.97,80.01,68,70,12.21,US,1596389462
George Town,5.41,100.34,84.2,83,20,4.7,MY,1596389295
Khovd,48.01,91.64,56.26,61,95,8.3,MN,1596389462
Rikitea,-23.12,-134.97,72.68,76,57,12.37,PF,1596389463
Blackwater,-23.58,148.88,53.92,84,17,5.5,AU,1596389463
Iqaluit,63.75,-68.51,51.8,76,75,5.82,CA,1596389239
Māngrol,21.12,70.12,85.24,81,88,8.3,IN,1596389463
Ingham,42.6,-84.38,66.99,88,90,8.05,US,1596389464
Nome,64.5,-165.41,51.8,81,1,3.53,US,1596389464
Hermanus,-34.42,19.23,52.0,89,0,4.72,ZA,1596389464
Chapais,49.78,-74.85,77.0,57,75,2.24,CA,1596389465
Ushuaia,-54.8,-68.3,42.8,70,40,24.16,AR,1596389299
São Domingos,-13.4,-46.32,84.72,28,0,9.35,BR,1596389465
Yangi Marg`ilon,40.43,71.72,78.8,41,0,6.93,UZ,1596389466
Longyearbyen,78.22,15.64,50.0,81,40,4.7,SJ,1596389371
Ponta do Sol,32.67,-17.1,77.0,65,20,19.46,PT,1596389466
Saskylakh,71.92,114.08,62.37,64,82,4.29,RU,1596389466
Labuhan,-6.88,112.21,75.04,80,59,9.22,ID,1596389306
Cape Town,-33.93,18.42,62.01,82,0,8.05,ZA,1596389239
Manche,49.0,-1.17,68.0,60,56,6.93,FR,1596389467
Mossamedes,-15.2,12.15,67.12,86,0,3.8,AO,1596389467
Makakilo City,21.35,-158.09,78.8,73,75,3.36,US,1596389467
Bahía de Caráquez,-0.6,-80.42,82.4,69,75,5.82,EC,1596389468
Kamenka,51.32,42.77,59.74,81,80,3.49,RU,1596389468
Kapaa,22.08,-159.32,78.8,69,1,12.75,US,1596389223
Omsukchan,62.53,155.8,43.07,76,42,2.64,RU,1596389468
Teya,60.38,92.63,55.38,70,5,0.47,RU,1596389469
Changji,44.02,87.32,84.2,28,100,13.42,CN,1596389469
Kinna,57.51,12.69,62.01,77,75,12.75,SE,1596389469
Atuona,-9.8,-139.03,78.48,75,7,17.11,PF,1596389470
Saint Anthony,45.02,-93.22,72.0,56,40,11.41,US,1596389470
Binga,-17.62,27.34,61.61,51,0,1.43,ZW,1596389470
Bluff,-46.6,168.33,46.49,94,71,5.32,NZ,1596389470
Tooele,40.53,-112.3,91.99,21,1,10.29,US,1596389444
Barra de Tecoanapa,16.52,-98.75,87.37,62,80,8.79,MX,1596389471
Torbay,47.67,-52.73,61.0,93,90,12.75,CA,1596389471
Pevek,69.7,170.31,36.93,85,98,1.72,RU,1596389472
Saint-Pierre,-21.34,55.48,69.8,60,90,12.75,RE,1596389244
Nikolskoye,59.7,30.79,61.0,72,75,2.24,RU,1596389472
